trial,fast_score,full_net,full_trades,full_pf,full_dd,oos_net,oos_trades,oos_pf,oos_dd,rsi_period,rsi_overbought,rsi_oversold,rsi_target_buy,rsi_target_sell,bars_to_wait,use_trailing,trail_distance_pts,trail_activation_pts,lot_size
672,-inf,0.0,2349,0.0,0.0,0.0,780,0.0,0.0,10,20.9,75.3,88.3,15.9,6,False,90,90,0.1
673,-inf,0.0,3436,0.0,0.0,0.0,1187,0.0,0.0,10,68.1,49.7,86.2,20.8,4,False,71,70,0.1
674,-inf,0.0,7828,0.0,0.0,0.0,2888,0.0,0.0,12,62.4,45.5,74.5,38.8,6,True,55,90,0.1
675,-inf,0.0,2947,0.0,0.0,0.0,1058,0.0,0.0,16,5.6,57.1,92.2,0.6,4,False,71,70,0.1
676,-inf,0.0,3646,0.0,0.0,0.0,1290,0.0,0.0,16,19.1,53.2,95.4,9.0,3,False,120,20,0.1
677,-inf,0.0,1064,0.0,0.0,0.0,359,0.0,0.0,14,64.0,39.3,85.9,43.9,8,False,90,41,0.1
678,-inf,0.0,1940,0.0,0.0,0.0,681,0.0,0.0,21,11.9,59.3,93.2,6.9,6,False,40,20,0.1
679,-inf,0.0,2339,0.0,0.0,0.0,830,0.0,0.0,21,71.9,42.6,74.3,40.4,3,False,71,35,0.1
680,-inf,0.0,3308,0.0,0.0,0.0,1167,0.0,0.0,16,20.1,59.1,98.7,15.1,3,False,120,35,0.1
681,-inf,0.0,3446,0.0,0.0,0.0,1231,0.0,0.0,21,13.9,55.3,96.3,4.8,2,False,71,41,0.1
682,-inf,0.0,6166,0.0,0.0,0.0,2169,0.0,0.0,10,80.6,46.0,75.5,46.6,2,False,90,90,0.1
683,-inf,0.0,2954,0.0,0.0,0.0,1017,0.0,0.0,16,75.7,38.9,75.8,60.2,2,False,71,90,0.1
684,-inf,0.0,3958,0.0,0.0,0.0,1444,0.0,0.0,12,76.8,51.0,80.0,43.1,4,False,55,70,0.1
685,-inf,0.0,1762,0.0,0.0,0.0,627,0.0,0.0,21,81.9,47.3,88.8,28.6,6,False,55,41,0.1
686,-inf,0.0,2065,0.0,0.0,0.0,750,0.0,0.0,12,67.4,53.7,81.5,31.7,12,False,120,90,0.1
687,-inf,0.0,484,0.0,0.0,0.0,189,0.0,0.0,18,5.6,75.2,92.4,0.6,2,False,55,90,0.1
688,-inf,0.0,6342,0.0,0.0,0.0,2327,0.0,0.0,12,81.6,54.2,91.4,30.7,4,True,40,55,0.1
689,-inf,0.0,4470,0.0,0.0,0.0,1632,0.0,0.0,12,12.4,63.5,93.8,7.4,4,True,71,35,0.1
690,-inf,0.0,2156,0.0,0.0,0.0,779,0.0,0.0,14,5.8,70.5,93.1,0.8,2,True,40,41,0.1
691,-inf,0.0,1700,0.0,0.0,0.0,632,0.0,0.0,18,62.6,54.9,87.3,44.0,12,False,150,55,0.1
692,-inf,0.0,6878,0.0,0.0,0.0,2402,0.0,0.0,12,18.6,56.0,92.6,17.6,1,False,150,70,0.1
693,-inf,0.0,1928,0.0,0.0,0.0,637,0.0,0.0,21,75.3,44.7,80.7,26.5,3,False,40,70,0.1
694,-inf,0.0,2325,0.0,0.0,0.0,815,0.0,0.0,21,5.8,60.7,94.9,0.8,3,False,90,70,0.1
695,-inf,0.0,2650,0.0,0.0,0.0,922,0.0,0.0,10,12.3,71.8,89.4,9.6,2,False,150,90,0.1
696,-inf,0.0,4318,0.0,0.0,0.0,1560,0.0,0.0,14,76.1,42.2,76.2,47.4,8,True,90,55,0.1
697,-inf,0.0,5333,0.0,0.0,0.0,1887,0.0,0.0,16,74.6,41.5,91.4,25.7,1,True,40,55,0.1
698,-inf,0.0,4738,0.0,0.0,0.0,1669,0.0,0.0,16,72.1,39.7,76.6,24.1,2,True,71,41,0.1
699,-inf,0.0,4954,0.0,0.0,0.0,1765,0.0,0.0,16,70.3,39.1,89.6,18.4,2,True,55,41,0.1
700,-inf,0.0,3506,0.0,0.0,0.0,1261,0.0,0.0,16,62.5,54.8,89.1,55.8,3,False,40,70,0.1
701,-inf,0.0,400,0.0,0.0,0.0,151,0.0,0.0,16,9.7,76.9,93.8,4.7,6,False,120,55,0.1
702,-inf,0.0,3714,0.0,0.0,0.0,1329,0.0,0.0,10,5.8,69.1,92.0,0.8,1,False,150,70,0.1
703,-inf,0.0,688,0.0,0.0,0.0,251,0.0,0.0,18,17.8,74.0,89.3,12.8,3,False,150,20,0.1
704,-inf,0.0,1411,0.0,0.0,0.0,501,0.0,0.0,18,79.9,43.0,83.5,34.7,6,False,40,41,0.1
705,-inf,0.0,558,0.0,0.0,0.0,229,0.0,0.0,21,8.2,73.5,90.6,3.2,1,False,90,55,0.1
706,-inf,0.0,6026,0.0,0.0,0.0,2151,0.0,0.0,18,74.7,49.6,74.9,50.3,1,False,150,41,0.1
707,-inf,0.0,1688,0.0,0.0,0.0,587,0.0,0.0,10,62.3,44.4,89.5,20.6,8,False,55,41,0.1
708,-inf,0.0,2716,0.0,0.0,0.0,967,0.0,0.0,14,10.9,57.9,94.9,5.9,6,False,120,35,0.1
709,-inf,0.0,4246,0.0,0.0,0.0,1520,0.0,0.0,14,77.6,57.0,76.9,40.7,2,False,90,35,0.1
710,-inf,0.0,7538,0.0,0.0,0.0,2656,0.0,0.0,10,81.2,43.8,79.4,41.2,1,False,55,20,0.1
711,-inf,0.0,1408,0.0,0.0,0.0,518,0.0,0.0,12,13.9,76.1,85.9,8.9,3,True,120,90,0.1
712,-inf,0.0,2825,0.0,0.0,0.0,967,0.0,0.0,10,19.8,74.2,91.4,14.8,2,False,55,41,0.1
713,-inf,0.0,623,0.0,0.0,0.0,228,0.0,0.0,16,4.0,74.6,96.6,-1.0,8,False,120,41,0.1
714,-inf,0.0,4393,0.0,0.0,0.0,1610,0.0,0.0,21,64.6,41.7,86.1,35.3,6,True,90,41,0.1
715,-inf,0.0,2697,0.0,0.0,0.0,972,0.0,0.0,21,74.1,41.7,84.3,34.4,8,True,40,90,0.1
716,-inf,0.0,2077,0.0,0.0,0.0,711,0.0,0.0,21,66.0,44.1,72.1,32.2,4,False,120,35,0.1
717,-inf,0.0,5684,0.0,0.0,0.0,2021,0.0,0.0,10,5.7,62.5,87.5,0.7,1,False,150,55,0.1
