trial,net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
473,-4065.8399999999965,1108,0.7552690551244139,8,38,64,2.0,8,5,True,0,20,3.16,5.62,96,200,False,True,14,16.6,7,21,8.0,0.1,10000.0
474,-51.220000000001164,26,0.8765307106354258,12,42,40,2.0,8,4,False,1,20,2.76,5.6,48,200,True,True,14,18.0,8,21,8.0,0.1,10000.0
475,-1671.6899999999878,353,0.6673074971192481,8,42,48,1.7,7,4,True,1,14,2.01,6.81,96,200,False,True,14,23.8,7,21,8.0,0.1,10000.0
476,-160.38000000000284,49,0.7940519300408352,9,50,48,1.9,10,5,False,0,20,2.9,7.27,48,100,False,True,14,22.2,8,21,8.0,0.1,10000.0
477,-4429.71,1200,0.7542116891922634,9,50,72,1.1,7,5,True,0,14,2.93,5.75,96,200,False,False,14,17.4,8,21,6.0,0.1,10000.0
478,-424.0399999999954,80,0.6488572374958596,9,52,40,1.5,6,5,False,0,14,2.24,6.75,64,200,True,False,14,21.0,7,21,6.0,0.1,10000.0
479,-2480.5799999999927,696,0.7065784399773835,10,40,56,0.7,6,4,True,1,14,2.57,6.52,48,100,True,False,14,22.0,7,21,6.0,0.1,10000.0
480,-3594.480000000007,823,0.6711167635769739,9,38,56,1.7,8,5,True,0,20,2.4,6.55,80,200,True,False,14,21.3,8,21,8.0,0.1,10000.0
481,-1102.7100000000137,212,0.6439793111464104,10,40,32,1.4,9,3,True,1,14,3.04,5.34,64,200,True,True,14,21.5,8,22,6.0,0.1,10000.0
482,-571.6300000000083,79,0.551978995219061,8,48,32,1.8,6,4,False,0,14,2.73,5.7,48,200,True,False,14,23.9,7,22,8.0,0.1,10000.0
483,-3684.7999999999947,882,0.6959793667281892,12,44,72,0.8,10,2,True,0,14,2.36,6.52,96,100,True,False,14,19.9,7,21,6.0,0.1,10000.0
484,-5247.590000000021,1310,0.6880814380283875,9,40,32,1.4,6,3,True,0,20,2.26,5.27,96,100,False,False,14,23.4,8,21,8.0,0.1,10000.0
485,-4418.860000000008,1118,0.6470294095563085,9,40,72,1.2,9,5,True,0,20,2.14,4.76,48,200,False,True,14,23.5,7,22,6.0,0.1,10000.0
486,-457.73000000000866,81,0.7003757331378299,10,50,64,2.0,8,2,False,1,14,3.02,7.44,80,200,False,False,14,20.2,7,21,8.0,0.1,10000.0
487,-366.45999999999367,216,0.8468879130612809,8,52,48,0.8,8,3,True,1,20,2.18,5.35,48,200,True,True,14,23.9,7,22,8.0,0.1,10000.0
488,-2523.020000000003,690,0.7381838634125486,9,52,48,1.9,9,2,True,0,14,3.02,7.3,64,100,True,False,14,21.8,8,21,6.0,0.1,10000.0
489,-2810.939999999997,690,0.6836219364641661,12,50,48,1.3,9,4,True,0,14,2.63,5.35,64,200,True,False,14,18.6,7,22,8.0,0.1,10000.0
490,-3689.0899999999674,935,0.6855748963803215,9,42,56,1.9,8,3,True,0,14,2.88,4.53,48,100,True,False,14,21.4,7,21,6.0,0.1,10000.0
491,11.670000000007349,35,1.0215293792085602,10,52,40,2.4,6,4,False,0,14,2.75,5.71,48,100,True,False,14,19.9,7,22,6.0,0.1,10000.0
492,-3196.9200000000055,696,0.6258251481755447,11,50,48,1.8,9,4,True,0,14,2.1,5.97,64,100,False,True,14,23.9,8,22,6.0,0.1,10000.0
493,-774.8500000000004,103,0.5784528673474384,12,42,56,1.5,9,4,False,0,14,2.39,6.64,64,200,False,False,14,19.2,8,21,6.0,0.1,10000.0
494,-104.91000000000167,34,0.7799706375838926,9,40,40,2.2,7,2,False,0,20,2.15,4.89,64,100,True,True,14,18.1,7,21,6.0,0.1,10000.0
495,-205.85999999999876,16,0.43485422500411797,12,46,48,2.4,7,5,False,0,14,2.36,7.34,80,200,True,True,14,19.9,8,22,6.0,0.1,10000.0
