trial,score,net,trades,pf,daily_ema_period,use_daily_bias,htf_zone_bars,min_break_body_ratio,use_double_trap,trap_lookback,ny_chaos_start,ny_chaos_end,momentum_start,momentum_end,ltf_fast_ema,ltf_slow_ema,entry_mode,atr_period,atr_sl_mult,atr_tp_mult,use_trailing,trail_atr_mult,max_bars_in_trade,extend_hold_in_momentum,use_compression_filter,compress_atr_ratio,compress_lookback,cooldown_bars,max_spread_pips,lot_size,initial_balance
122,3132.4590891767034,1927.3399999999983,246,4.544402964488663,50,True,20,0.51,False,6,12,15,15,3,8,21,1,14,1.62,5.36,True,1.2,120,True,True,0.7,48,8,8.0,0.1,10000.0
70,3115.1596882757,1987.7900000000063,230,4.960135471660524,50,True,20,0.61,False,6,12,14,15,3,8,21,1,14,1.99,3.81,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
777,3114.376882528717,1957.2200000000066,236,4.409612738010209,50,True,24,0.57,False,6,12,14,15,2,8,21,1,14,1.92,4.7,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
189,3105.415282873579,2041.9000000000087,218,5.916094859756831,50,True,16,0.58,False,6,13,14,15,2,8,21,1,14,1.9,4.37,True,1.2,96,True,True,0.7,48,8,8.0,0.1,10000.0
141,3089.388464004916,1624.979999999996,300,2.693622520766673,50,True,20,0.53,False,6,12,15,16,2,8,21,1,14,1.72,5.41,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
493,3080.0423620446068,1611.1899999999896,300,2.6779209147808336,50,True,20,0.53,False,6,12,16,16,2,8,21,1,14,1.75,4.66,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
682,3079.911689443329,1720.4099999999962,278,3.208400189979847,100,True,16,0.59,False,6,12,14,15,2,8,21,1,14,1.78,4.57,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
401,3076.272899332621,1602.8099999999995,302,2.5532308706101245,50,True,20,0.52,True,6,12,14,15,3,8,21,1,14,1.72,4.81,True,1.2,120,True,True,0.7,48,8,8.0,0.1,10000.0
281,3068.171107489159,1558.1099999999988,309,2.721307128890068,100,True,20,0.53,False,6,12,15,15,3,8,21,1,14,1.7,4.64,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
319,3067.7770967799365,2003.1299999999956,219,5.822751895991332,50,True,24,0.52,False,6,12,14,15,2,8,21,1,14,2.05,3.82,True,1.2,96,True,True,0.7,48,8,8.0,0.1,10000.0
519,3051.550086379761,1346.7399999999925,356,1.9580496688506162,100,True,16,0.57,True,6,13,14,15,3,8,21,1,14,2.06,5.4,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
92,3047.9979628149204,1543.8799999999937,309,2.3985813803911618,50,True,16,0.57,True,6,13,14,15,3,8,21,1,14,1.68,4.34,True,1.2,80,True,True,0.7,48,8,8.0,0.1,10000.0
258,3045.8851219232765,2042.4100000000053,205,6.348303131873887,50,True,20,0.64,False,6,12,14,15,2,8,21,1,14,2.11,5.22,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
388,3045.083976564807,1739.499999999991,268,3.1355087409153404,50,True,16,0.6,False,6,13,15,16,3,8,21,1,14,2.02,3.56,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
819,3044.5668720664207,1633.6499999999978,291,2.6028433507976687,50,True,20,0.54,True,6,13,15,15,3,8,21,1,14,2.16,4.75,True,1.2,120,True,True,0.7,48,8,8.0,0.1,10000.0
145,3038.155484677251,1529.359999999997,309,2.649884028264739,100,True,20,0.53,False,6,12,15,15,3,8,21,1,14,1.76,4.0,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
396,3024.7360541094704,1743.159999999989,262,3.294899813054583,50,True,16,0.61,False,6,13,15,16,3,8,21,1,14,2.07,4.51,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
335,3014.7754810836404,1305.119999999999,356,1.9616977378232996,100,True,16,0.58,True,6,12,14,15,3,8,21,1,14,1.67,4.84,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
585,3001.1076862469517,1527.6599999999871,302,2.464201506699638,50,True,20,0.51,True,6,13,15,15,3,8,21,1,14,1.62,4.42,True,1.2,120,True,True,0.7,48,8,8.0,0.1,10000.0
646,3000.6248590580326,1526.430000000002,304,2.3172278697295527,50,True,20,0.59,True,6,13,15,15,2,8,21,1,14,1.74,4.18,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
769,2990.1278787878678,1566.3399999999892,292,2.6504989410016755,50,True,20,0.54,False,6,12,16,16,2,8,21,1,14,1.74,4.95,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
433,2984.5484112413533,1574.550000000003,291,2.4966636249572263,50,True,20,0.61,True,6,12,15,15,2,8,21,1,14,1.71,4.92,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
28,2984.0812086950677,1585.8400000000147,290,2.4549391267649567,50,True,20,0.62,True,6,13,14,15,3,8,21,1,14,2.14,5.09,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
63,2982.1407959676985,1568.349999999995,290,2.5640488656195464,50,True,20,0.52,True,6,12,15,15,2,8,21,1,14,1.7,4.12,True,1.2,120,True,True,0.7,48,8,8.0,0.1,10000.0
518,2980.06390056358,1474.9099999999999,308,2.2953487555110574,50,True,16,0.52,False,6,12,15,16,3,8,21,1,14,1.72,4.91,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
786,2977.542905712168,1280.1899999999878,349,1.8528857236127674,50,True,16,0.59,True,6,13,15,16,3,8,21,1,14,2.07,4.89,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
369,2977.0070663344723,1623.7899999999972,276,2.83564137057846,50,True,24,0.53,False,6,13,16,15,3,8,21,1,14,2.12,5.05,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
755,2974.9073598290443,1305.8099999999959,348,1.9680913370649071,100,True,16,0.59,True,6,12,14,15,2,8,21,1,14,1.68,3.58,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
352,2972.1755010725115,1333.8299999999945,337,1.9609933932289603,50,True,16,0.6,True,6,12,16,16,3,8,21,1,14,2.12,4.9,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
19,2960.3577378811956,1508.280000000006,301,2.2845608775635347,50,True,20,0.6,True,6,13,14,15,3,8,21,1,14,2.19,4.03,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
426,2955.8843401742383,1526.5800000000054,296,2.320456707897241,50,True,20,0.6,True,6,12,14,15,2,8,21,1,14,2.06,3.53,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
714,2952.53001114495,1357.4899999999925,329,2.0007445741920264,50,True,16,0.6,True,6,13,16,16,2,8,21,1,14,2.17,4.46,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
271,2950.0695207374374,1571.2099999999919,283,2.7535043078434,50,True,20,0.56,False,6,12,16,15,2,8,21,1,14,1.7,5.47,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
648,2938.0366034290164,1450.8699999999917,305,2.2340687942297226,50,True,16,0.51,False,6,12,15,16,2,8,21,1,14,2.01,4.62,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
849,2933.5802368471645,1677.42,257,3.5645878881465283,100,True,16,0.54,False,6,12,14,15,3,8,21,1,14,1.95,4.48,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
656,2930.7132617283823,1238.3500000000076,352,1.870171666280189,100,True,16,0.58,True,6,13,14,15,3,8,21,1,14,1.93,3.78,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
668,2924.1491368866073,1584.7500000000055,277,2.601517892332724,50,True,20,0.63,True,6,13,14,15,2,8,21,1,14,1.74,4.67,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
373,2921.16929411193,1399.9700000000012,313,2.0635160594366284,50,True,20,0.66,True,6,13,15,15,3,8,21,1,14,1.78,4.62,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
651,2918.269843300308,1551.1799999999894,280,2.739361523194402,50,True,24,0.53,False,6,13,15,16,3,8,21,1,14,1.75,5.09,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
642,2916.716267392825,1522.8400000000001,287,2.419778293663003,50,True,16,0.62,True,6,12,15,15,3,8,21,1,14,2.11,3.55,True,1.2,120,True,True,0.7,48,8,8.0,0.1,10000.0
820,2916.687060350089,1190.5899999999729,355,1.8054595271115923,50,True,16,0.59,True,6,12,14,16,3,8,21,1,14,1.66,4.49,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
380,2909.315773317058,1542.6199999999972,280,2.8664940470428806,100,True,24,0.53,False,6,13,14,15,3,8,21,1,14,1.98,3.76,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
299,2903.7359327940953,1307.5499999999902,332,2.0101513430829487,100,True,16,0.6,True,6,13,14,15,3,8,21,1,14,1.97,5.06,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
559,2901.1706289691638,1863.9900000000034,213,5.511435970665827,50,True,24,0.54,False,6,12,14,15,3,8,21,1,14,1.85,5.22,True,1.2,80,True,True,0.7,48,8,8.0,0.1,10000.0
133,2896.8135928553065,1710.849999999995,242,3.4711124591963487,50,True,16,0.63,False,6,13,16,15,2,8,21,1,14,2.11,4.86,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
225,2892.122837350066,1335.7800000000097,319,2.105183469159806,100,True,16,0.53,True,6,13,14,15,3,8,21,1,14,2.19,4.34,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
389,2887.858983014538,1377.3500000000076,312,1.9981375731926487,50,True,20,0.66,True,6,13,14,15,3,8,21,1,14,2.1,3.74,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
86,2886.7075760528646,1451.0899999999892,294,2.4530807205872045,50,True,24,0.51,False,6,13,16,16,2,8,21,1,14,1.63,3.57,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
282,2879.6124884241617,1564.6599999999835,269,2.8178079327090644,50,True,24,0.54,False,6,12,16,15,3,8,21,1,14,1.99,4.7,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
186,2879.591676567035,1622.380000000001,256,3.468925006087168,100,True,20,0.51,False,6,13,14,15,3,8,21,1,14,1.61,4.94,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
785,2879.107659281762,1877.8400000000147,204,5.569843278497031,50,True,24,0.62,False,6,12,14,15,3,8,21,1,14,1.65,3.65,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
330,2871.7646773829074,1540.3600000000079,276,2.506214125768821,50,True,20,0.64,True,6,12,14,15,2,8,21,1,14,1.93,4.65,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
793,2865.9639061079038,1537.4100000000017,271,2.909399140564843,100,True,24,0.54,False,6,13,14,15,3,8,21,1,14,2.14,4.51,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
758,2856.9450327176273,1100.8499999999913,363,1.6424119699816762,50,True,16,0.51,True,6,13,14,16,3,8,21,1,14,2.15,3.7,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
616,2852.725860491243,1506.0799999999945,277,2.516757976152111,50,True,20,0.56,True,6,13,15,15,2,8,21,1,14,1.78,4.83,True,1.2,120,True,True,0.7,48,8,8.0,0.1,10000.0
447,2850.4685579777706,1686.8200000000033,238,3.9373802807090863,100,True,24,0.51,False,6,12,15,15,3,8,21,1,14,2.1,4.11,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
