side,open_time,close_time,profit,exit_reason
BUY,2023-10-03 15:00:00,2023-10-03 17:00:00,9.78,trail
BUY,2023-10-12 20:15:00,2023-10-13 05:45:00,-10.71,sl
SELL,2023-10-19 16:15:00,2023-10-19 18:00:00,2.94,trail
SELL,2023-10-19 18:00:00,2023-10-19 18:45:00,7.47,trail
SELL,2023-10-19 19:00:00,2023-10-19 19:15:00,10.65,trail
SELL,2023-10-19 20:00:00,2023-10-20 01:00:00,17.88,trail
BUY,2023-10-26 16:15:00,2023-10-26 17:00:00,16.83,trail
BUY,2023-10-26 17:15:00,2023-10-27 00:00:00,-15.16,sl
BUY,2023-10-31 16:15:00,2023-10-31 17:00:00,18.5,trail
BUY,2023-10-31 17:15:00,2023-10-31 17:45:00,4.8100000000000005,trail
BUY,2023-10-31 18:15:00,2023-10-31 18:45:00,9.04,trail
BUY,2023-10-31 19:15:00,2023-10-31 20:00:00,-20.1,sl
SELL,2023-11-03 15:00:00,2023-11-03 15:30:00,52.81,trail
SELL,2023-11-03 16:00:00,2023-11-03 17:00:00,-25.47,sl
BUY,2023-11-09 20:15:00,2023-11-09 21:00:00,8.33,trail
BUY,2023-11-09 21:15:00,2023-11-09 21:30:00,9.4,trail
BUY,2023-11-09 22:15:00,2023-11-10 00:45:00,-14.2,sl
SELL,2023-11-14 15:00:00,2023-11-14 15:15:00,1.3900000000000001,trail
SELL,2023-11-14 16:00:00,2023-11-14 17:00:00,48.45,tp
SELL,2023-11-14 17:00:00,2023-11-14 18:00:00,3.7199999999999998,trail
SELL,2023-11-14 18:00:00,2023-11-14 21:45:00,30.6,tp
SELL,2023-11-14 21:45:00,2023-11-15 00:00:00,20.6,trail
SELL,2023-11-15 00:00:00,2023-11-15 00:45:00,0.35,trail
SELL,2023-11-24 16:15:00,2023-11-24 16:45:00,5.96,trail
SELL,2023-11-24 17:15:00,2023-11-24 21:00:00,0.35,trail
SELL,2023-11-27 15:00:00,2023-11-28 00:00:00,12.0,trail
SELL,2023-12-13 20:15:00,2023-12-13 20:45:00,3.88,trail
SELL,2023-12-13 21:15:00,2023-12-13 21:30:00,24.14,trail
SELL,2023-12-13 22:15:00,2023-12-14 05:00:00,31.22,tp
SELL,2023-12-14 16:15:00,2023-12-14 17:00:00,22.8,trail
SELL,2023-12-14 17:15:00,2023-12-14 20:00:00,18.33,trail
SELL,2023-12-14 20:00:00,2023-12-14 20:45:00,-29.57,sl
SELL,2023-12-19 15:00:00,2023-12-19 16:45:00,17.44,trail
SELL,2023-12-21 15:00:00,2023-12-21 15:30:00,19.28,trail
SELL,2023-12-21 16:00:00,2023-12-21 16:30:00,6.34,trail
SELL,2023-12-21 20:15:00,2023-12-21 23:15:00,25.79,tp
SELL,2023-12-21 23:15:00,2023-12-22 00:00:00,0.9,trail
SELL,2023-12-22 15:00:00,2023-12-22 15:30:00,-17.66,sl
SELL,2023-12-22 16:00:00,2023-12-22 17:30:00,-23.47,sl
SELL,2023-12-27 16:15:00,2023-12-27 16:45:00,2.88,trail
SELL,2023-12-27 17:15:00,2023-12-27 17:45:00,28.52,trail
SELL,2023-12-27 18:15:00,2023-12-27 19:00:00,11.47,trail
SELL,2023-12-27 19:15:00,2023-12-28 00:00:00,14.81,trail
SELL,2023-12-28 00:15:00,2023-12-28 03:45:00,12.58,trail
BUY,2024-01-18 15:00:00,2024-01-18 15:30:00,13.34,trail
BUY,2024-01-18 16:00:00,2024-01-19 00:00:00,-13.7,sl
BUY,2024-01-23 16:15:00,2024-01-23 16:30:00,14.39,trail
BUY,2024-01-23 17:15:00,2024-01-23 17:30:00,6.65,trail
BUY,2024-01-23 18:15:00,2024-01-23 23:30:00,-13.36,sl
SELL,2024-01-24 15:00:00,2024-01-24 15:15:00,16.25,trail
SELL,2024-01-24 16:00:00,2024-01-24 16:45:00,-20.84,sl
BUY,2024-02-02 16:15:00,2024-02-02 17:00:00,7.33,trail
BUY,2024-02-02 17:15:00,2024-02-02 20:30:00,20.71,trail
BUY,2024-02-08 15:00:00,2024-02-08 15:30:00,5.24,trail
BUY,2024-02-08 16:00:00,2024-02-08 16:30:00,-15.78,sl
BUY,2024-02-12 15:00:00,2024-02-12 15:15:00,-0.26,trail
BUY,2024-02-12 16:00:00,2024-02-12 18:15:00,-14.59,sl
BUY,2024-02-13 15:00:00,2024-02-13 15:30:00,62.14,trail
BUY,2024-02-13 16:00:00,2024-02-13 17:00:00,1.8900000000000001,trail
BUY,2024-02-29 16:15:00,2024-02-29 16:30:00,10.08,trail
BUY,2024-02-29 17:15:00,2024-02-29 17:45:00,7.96,trail
BUY,2024-02-29 18:15:00,2024-02-29 19:15:00,19.36,trail
BUY,2024-02-29 19:15:00,2024-03-01 00:00:00,5.32,trail
BUY,2024-03-01 00:00:00,2024-03-01 08:15:00,2.32,trail
BUY,2024-03-01 15:00:00,2024-03-01 15:15:00,7.22,trail
BUY,2024-03-01 16:00:00,2024-03-01 16:45:00,6.49,trail
BUY,2024-03-14 16:15:00,2024-03-14 16:30:00,3.23,trail
BUY,2024-03-14 17:15:00,2024-03-14 18:00:00,13.22,trail
BUY,2024-03-14 18:15:00,2024-03-15 03:00:00,8.66,trail
BUY,2024-03-18 16:15:00,2024-03-18 16:45:00,0.84,trail
BUY,2024-03-18 17:15:00,2024-03-18 17:30:00,7.42,trail
BUY,2024-03-18 18:15:00,2024-03-18 20:15:00,20.84,tp
BUY,2024-03-21 16:15:00,2024-03-21 16:30:00,9.78,trail
BUY,2024-03-21 17:15:00,2024-03-22 00:00:00,-13.41,sl
BUY,2024-03-26 15:00:00,2024-03-26 15:30:00,10.12,trail
BUY,2024-03-26 16:00:00,2024-03-26 16:15:00,1.21,trail
BUY,2024-04-10 15:00:00,2024-04-10 15:15:00,-10.65,sl
BUY,2024-04-10 16:00:00,2024-04-10 16:30:00,14.0,trail
BUY,2024-04-10 17:00:00,2024-04-10 20:15:00,17.83,trail
BUY,2024-04-30 16:15:00,2024-04-30 17:30:00,-21.6,sl
BUY,2024-04-30 17:30:00,2024-04-30 17:45:00,34.73,trail
BUY,2024-04-30 18:30:00,2024-04-30 23:00:00,25.76,tp
BUY,2024-04-30 23:00:00,2024-05-01 00:00:00,-13.44,sl
BUY,2024-05-01 00:00:00,2024-05-01 00:45:00,-15.98,sl
BUY,2024-05-20 15:00:00,2024-05-20 15:15:00,3.55,trail
BUY,2024-05-20 16:00:00,2024-05-20 16:15:00,-12.26,sl
SELL,2024-05-30 15:00:00,2024-05-30 15:15:00,4.46,trail
SELL,2024-05-30 16:00:00,2024-05-30 17:45:00,10.29,trail
SELL,2024-06-03 16:15:00,2024-06-03 17:00:00,27.52,trail
SELL,2024-06-03 17:15:00,2024-06-03 17:45:00,7.5600000000000005,trail
SELL,2024-06-03 18:15:00,2024-06-04 00:00:00,12.49,trail
SELL,2024-06-04 16:15:00,2024-06-04 16:30:00,5.61,trail
SELL,2024-06-04 17:15:00,2024-06-04 17:45:00,12.62,trail
SELL,2024-06-04 18:15:00,2024-06-04 20:45:00,9.55,trail
SELL,2024-06-12 15:00:00,2024-06-12 15:15:00,3.7,trail
